match_id,hero_0,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,match_time,game_stage,counter,net_worth_diff,exp_diff,score_diff,radiant_win
6166284623,morphling,winter-wyvern,dragon-knight,rubick,juggernaut,anti-mage,luna,legion-commander,shadow-shaman,magnus,00:23:29,mid game,-1.3,-1201,-17563,-10,0.0
6166284623,morphling,winter-wyvern,dragon-knight,rubick,juggernaut,anti-mage,luna,legion-commander,shadow-shaman,magnus,00:27:27,late game,-1.3,-477,-30168,-20,0.0
6166195831,lifestealer,ancient-apparition,magnus,tinker,techies,crystal-maiden,invoker,nyx-assassin,pudge,terrorblade,00:01:02,early game,1.41,-628,84,-1,1.0
6166195831,lifestealer,ancient-apparition,magnus,tinker,techies,crystal-maiden,invoker,nyx-assassin,pudge,terrorblade,00:24:55,mid game,1.41,968,3706,5,1.0
6166195831,lifestealer,ancient-apparition,magnus,tinker,techies,crystal-maiden,invoker,nyx-assassin,pudge,terrorblade,00:29:14,late game,1.41,2448,6759,7,1.0
6166195831,lifestealer,ancient-apparition,magnus,tinker,techies,crystal-maiden,invoker,nyx-assassin,pudge,terrorblade,00:41:05,superlate game,1.41,-4435,-15111,4,1.0
6166225927,warlock,natures-prophet,mars,rubick,doom,clinkz,huskar,slardar,tusk,windranger,00:14:24,early game,-2.02,2643,-813,0,0.0
6166225927,warlock,natures-prophet,mars,rubick,doom,clinkz,huskar,slardar,tusk,windranger,00:25:38,mid game,-2.02,-1919,-12740,-7,0.0
6166225927,warlock,natures-prophet,mars,rubick,doom,clinkz,huskar,slardar,tusk,windranger,00:31:28,late game,-2.02,-7673,-23404,-12,0.0
6166225927,warlock,natures-prophet,mars,rubick,doom,clinkz,huskar,slardar,tusk,windranger,00:50:18,superlate game,-2.02,-7195,-27906,-10,0.0
6166231887,invoker,ursa,undying,tidehunter,techies,storm-spirit,dazzle,underlord,zeus,sven,00:13:21,early game,11.95,1512,3492,9,1.0
6166231887,invoker,ursa,undying,tidehunter,techies,storm-spirit,dazzle,underlord,zeus,sven,00:23:01,mid game,11.95,1499,1518,5,1.0
6166231887,invoker,ursa,undying,tidehunter,techies,storm-spirit,dazzle,underlord,zeus,sven,00:28:13,late game,11.95,1772,5745,8,1.0
6166231887,invoker,ursa,undying,tidehunter,techies,storm-spirit,dazzle,underlord,zeus,sven,01:01:14,superlate game,11.95,24038,28897,25,1.0
6166238515,dawnbreaker,phantom-assassin,sniper,spirit-breaker,silencer,slark,windranger,invoker,mirana,terrorblade,00:09:26,early game,-5.43,1588,283,3,1.0
6166238515,dawnbreaker,phantom-assassin,sniper,spirit-breaker,silencer,slark,windranger,invoker,mirana,terrorblade,00:24:03,mid game,-5.43,-1234,-295,4,1.0
